trial_id,ok,emg_samples,ik_samples,duration_s,emg_nan,knee_nan,knee_min,knee_max,knee_std
AB06\10_09_18\treadmill\emg\treadmill_01_01.mat,True,143056,28611,143.06,0,0,-22.68571256,33.49039341,14.575003752705861
AB06\10_09_18\treadmill\emg\treadmill_02_01.mat,True,143227,28645,143.23,0,0,-24.35861523,32.03691236,14.912691253520586
AB06\10_09_18\treadmill\emg\treadmill_03_01.mat,True,145560,29112,145.56,0,0,-25.31230205,33.28240457,15.137255639749972
AB06\10_09_18\treadmill\emg\treadmill_04_01.mat,True,143564,28712,143.56,0,0,-25.27145146,34.85042711,15.660519069915638
AB06\10_09_18\treadmill\emg\treadmill_05_01.mat,True,143720,28744,143.72,0,0,-25.7925992,35.58042242,15.995223970529148
AB06\10_09_18\treadmill\emg\treadmill_06_01.mat,True,143889,28777,143.89,0,0,-27.35690488,37.09746318,16.768724075099936
AB06\10_09_18\treadmill\emg\treadmill_07_01.mat,True,144064,28812,144.06,0,0,-28.80984377,38.01941551,16.942143224094664
AB06\10_09_18\treadmill\emg\treadmill_08_01.mat,True,144223,28844,144.22,0,0,-30.26495034,37.04348096,17.50278300025615
AB07\10_14_18\treadmill\emg\treadmill_01_01.mat,True,143057,28611,143.06,0,0,-36.34204444,27.78862421,16.54170380141357
AB07\10_14_18\treadmill\emg\treadmill_02_01.mat,True,143232,28646,143.23,0,0,-36.72156278,30.90859238,17.064368637810922
AB07\10_14_18\treadmill\emg\treadmill_03_01.mat,True,143395,28679,143.4,0,0,-36.9549976,29.00010151,17.515370563804954
AB07\10_14_18\treadmill\emg\treadmill_04_01.mat,True,143565,28713,143.56,0,0,-37.24525787,28.90981126,17.902751124469763
AB07\10_14_18\treadmill\emg\treadmill_04_2_01.mat,True,143565,28713,143.56,0,0,-36.28991177,31.8101451,17.869294253587352
AB07\10_14_18\treadmill\emg\treadmill_05_01.mat,True,143726,28745,143.73,0,0,-36.97354358,31.22984411,17.73941678565137
AB07\10_14_18\treadmill\emg\treadmill_06_01.mat,True,143890,28777,143.89,0,0,-35.50081169,32.59385766,18.328999238525544
AB07\10_14_18\treadmill\emg\treadmill_07_01.mat,True,144059,28811,144.06,0,0,-36.82307268,33.81784003,18.647191406917806
AB07\10_14_18\treadmill\emg\treadmill_08_01.mat,True,144223,28844,144.22,0,0,-37.39234398,36.02165691,19.348835719408257
AB08\10_21_2018\treadmill\emg\treadmill_01_01.mat,True,142899,28579,142.9,0,0,-22.8341367,35.01086241,14.265976834020064
AB08\10_21_2018\treadmill\emg\treadmill_02_01.mat,True,143054,28610,143.05,0,0,-25.21288775,33.93175526,14.662074048689247
AB08\10_21_2018\treadmill\emg\treadmill_03_01.mat,True,143225,28645,143.22,0,0,-25.33116261,33.85403402,14.98474903588174
AB08\10_21_2018\treadmill\emg\treadmill_04_01.mat,True,143389,28677,143.39,0,0,-28.14295088,34.96096957,15.826849745455522
AB08\10_21_2018\treadmill\emg\treadmill_05_01.mat,True,143558,28711,143.56,0,0,-29.36260953,35.34360717,15.71014407873945
AB08\10_21_2018\treadmill\emg\treadmill_06_01.mat,True,143717,28743,143.72,0,0,-30.98976192,34.36028645,16.177038928211267
AB08\10_21_2018\treadmill\emg\treadmill_07_01.mat,True,143883,28776,143.88,0,0,-29.72561203,34.75848282,16.170821606639265
AB09\10_21_2018\treadmill\emg\treadmill_01_01.mat,True,142904,28580,142.9,0,0,-24.18227503,32.2441291,15.555323097184644
AB09\10_21_2018\treadmill\emg\treadmill_02_01.mat,True,143046,28609,143.05,0,0,-24.27875282,32.47784254,15.270266399023749
AB09\10_21_2018\treadmill\emg\treadmill_03_01.mat,True,143219,28643,143.22,0,0,-24.23596969,35.80106597,16.075965707735257
AB09\10_21_2018\treadmill\emg\treadmill_04_01.mat,True,143384,28676,143.38,0,0,-24.86914273,36.47180178,16.577514932722515
AB09\10_21_2018\treadmill\emg\treadmill_05_01.mat,True,143549,28709,143.55,0,0,-26.45888659,38.18150773,16.74070198169688
AB09\10_21_2018\treadmill\emg\treadmill_06_01.mat,True,143719,28743,143.72,0,0,-24.76232254,38.47936133,17.161980179144777
AB09\10_21_2018\treadmill\emg\treadmill_07_01.mat,True,143886,28777,143.89,0,0,-26.08169048,40.55121632,17.333627511596788
AB10\10_28_2018\treadmill\emg\treadmill_01_01.mat,True,142937,28587,142.94,0,0,-24.8053881,36.08181492,16.29372407671647
AB10\10_28_2018\treadmill\emg\treadmill_02_01.mat,True,143094,28618,143.09,0,0,-24.5793387,38.10468161,17.1387358415245
AB10\10_28_2018\treadmill\emg\treadmill_03_01.mat,True,143260,28652,143.26,0,0,-24.53726021,35.0382859,16.598181896776907
AB10\10_28_2018\treadmill\emg\treadmill_04_01.mat,True,143422,28684,143.42,0,0,-25.3183938,37.39750011,16.59803575335892
AB10\10_28_2018\treadmill\emg\treadmill_05_01.mat,True,143592,28718,143.59,0,0,-25.78411334,35.56052763,16.519664689174498
AB10\10_28_2018\treadmill\emg\treadmill_06_01.mat,True,143761,28752,143.76,0,0,-28.05411332,36.43717895,16.886177666188185
AB10\10_28_2018\treadmill\emg\treadmill_07_01.mat,True,143918,28783,143.92,0,0,-27.20802151,36.16828676,17.241114371642233
AB11\10_28_2018\treadmill\emg\treadmill_01_01.mat,True,142922,28584,142.92,0,0,-35.95521567,25.89677895,15.785892095997067
AB11\10_28_2018\treadmill\emg\treadmill_02_01.mat,True,143089,28617,143.09,0,0,-35.21665977,25.34716136,15.933011912592175
